date,TotalCases,NewCases
12/31/2019,0,0
1/1/2020,0,0
1/2/2020,0,0
1/3/2020,0,0
1/4/2020,0,0
1/5/2020,0,0
1/6/2020,0,0
1/7/2020,0,0
1/8/2020,0,0
1/9/2020,0,0
1/10/2020,0,0
1/11/2020,0,0
1/12/2020,0,0
1/13/2020,0,0
1/14/2020,0,0
1/15/2020,0,0
1/16/2020,0,0
1/17/2020,0,0
1/18/2020,0,0
1/19/2020,0,0
1/20/2020,0,0
1/21/2020,0,0
1/22/2020,0,0
1/23/2020,0,0
1/24/2020,0,0
1/25/2020,0,0
1/26/2020,0,0
1/27/2020,0,0
1/28/2020,0,0
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,0,0
2/3/2020,0,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,0
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,0
2/28/2020,0,0
2/29/2020,1,1
3/1/2020,1,0
3/2/2020,3,2
3/3/2020,6,3
3/4/2020,16,10
3/5/2020,26,10
3/6/2020,35,9
3/7/2020,43,8
3/8/2020,53,10
3/9/2020,55,2
3/10/2020,65,10
3/11/2020,70,5
3/12/2020,85,15
3/13/2020,117,32
3/14/2020,117,0
3/15/2020,138,21
3/16/2020,178,40
3/17/2020,199,21
3/18/2020,247,48
3/19/2020,250,3
3/20/2020,330,80
3/21/2020,409,79
3/22/2020,473,64
3/23/2020,568,95
3/24/2020,588,20
3/25/2020,648,60
3/26/2020,737,89
3/27/2020,802,65
3/28/2020,890,88
3/29/2020,963,73
3/30/2020,1020,57
3/31/2020,1086,66
4/1/2020,1135,49
4/2/2020,1220,85
4/3/2020,1319,99
4/4/2020,1364,45
4/5/2020,1417,53
4/6/2020,1486,69
4/7/2020,1562,76
4/8/2020,1586,24
4/9/2020,1616,30
4/10/2020,1648,32
4/11/2020,1675,27
4/12/2020,1689,14
4/13/2020,1701,12
4/14/2020,1711,10
4/15/2020,1720,9
4/16/2020,1727,7
4/17/2020,1739,12
4/18/2020,1754,15
4/19/2020,1760,6
4/20/2020,1771,11
4/21/2020,1773,2
4/22/2020,1778,5
4/23/2020,1785,7
4/24/2020,1789,4
4/25/2020,1789,0
4/26/2020,1790,1
4/27/2020,1792,2
4/28/2020,1792,0
4/29/2020,1795,3
4/30/2020,1797,2
5/1/2020,1797,0
5/2/2020,1798,1
5/3/2020,1798,0
5/4/2020,1799,1
5/5/2020,1799,0
5/6/2020,1799,0
5/7/2020,1799,0
5/8/2020,1801,2
5/9/2020,1801,0
5/10/2020,1801,0
5/11/2020,1801,0
5/12/2020,1801,0
5/13/2020,1801,0